id,label,interactions
Bilbo Baggins,Bilbo Baggins,1
GSJ Properties Corp.,GSJ Properties Corp.,1
Howard L. Berman,Howard L. Berman,1
Richard E. Hoagland,Richard E. Hoagland,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_031054),unknown person A (TEXT-001-HOUSE_OVERSIGHT_031054),8
unknown person A (TEXT-001-HOUSE_OVERSIGHT_031045),unknown person A (TEXT-001-HOUSE_OVERSIGHT_031045),14
unknown person B (TEXT-001-HOUSE_OVERSIGHT_030992),unknown person B (TEXT-001-HOUSE_OVERSIGHT_030992),1
prostitution conviction,prostitution conviction,1
real estate transaction scheme,real estate transaction scheme,1
Rebecca Watson,Rebecca Watson,1
Consuelo,Consuelo,1
upcoming book,upcoming book,1
Summer,Summer,1
SB,SB,1
unknown person (referred to as 'he') (TEXT-001-HOUSE_OVERSIGHT_030762),unknown person (referred to as 'he') (TEXT-001-HOUSE_OVERSIGHT_030762),1
G. Maxwell,G. Maxwell,3
Donni Dee,Donni Dee,1
Rachel Brand,Rachel Brand,1
James Baker,James Baker,2
brain trust group,brain trust group,1
Fusion GPS,Fusion GPS,1
House Oversight 030674,House Oversight 030674,1
Donald Trump Jr.,Donald Trump Jr.,1
Barrack gone dark,Barrack gone dark,1
Kelly Conway trouble,Kelly Conway trouble,1
Mike Pence health bill,Mike Pence health bill,1
Jared in Iraq,Jared in Iraq,1
National Security Council role in shakeup,National Security Council role in shakeup,1
Strauss-Kahn case,Strauss-Kahn case,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_030575),unknown person A (TEXT-001-HOUSE_OVERSIGHT_030575),1
Unknown person (TEXT-001-HOUSE_OVERSIGHT_030575),Unknown person (TEXT-001-HOUSE_OVERSIGHT_030575),1
scientific education and international peace,scientific education and international peace,1
Ehud Barak's planned meetings,Ehud Barak's planned meetings,1
Jenny,Jenny,1
Darren lndyke,Darren lndyke,1
telephone book,telephone book,1
Timothy Geithner,Timothy Geithner,1
free city for Chanukah,free city for Chanukah,1
Sarkozy,Sarkozy,1
Robert,Robert,1
Darling,Darling,1
Alistair Darling,Alistair Darling,1
gmax1,gmax1,1
Priceline.com stock sale,Priceline.com stock sale,1
Guardian News & Media,Guardian News & Media,1
old Russian,old Russian,1
Epstein family,Epstein family,1
Gergen,Gergen,1
Mayor Daley,Mayor Daley,1
"Prince Andrew, Donald Trump, Harvey Weinstein, David Copperfield","Prince Andrew, Donald Trump, Harvey Weinstein, David Copperfield",1
Syria: Blackberry Diplomacy,Syria: Blackberry Diplomacy,1
apartment,apartment,1
Al Taylor,Al Taylor,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_029975),unknown person A (TEXT-001-HOUSE_OVERSIGHT_029975),1
diving site,diving site,1
compiled articles on Middle East policy,compiled articles on Middle East policy,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_029744),unknown person A (TEXT-001-HOUSE_OVERSIGHT_029744),15
$30 million,$30 million,1
early education importance,early education importance,1
former government programs,former government programs,1
donor advised fund,donor advised fund,1
Danny Hillis,Danny Hillis,1
politicians,politicians,1
Clinton-Epstein island visitation allegations,Clinton-Epstein island visitation allegations,1
Daily Mail article alleging sexual assault,Daily Mail article alleging sexual assault,1
Bernie Nussbaum,Bernie Nussbaum,2
Chinese government,Chinese government,1
Poetry in America project at Harvard University,Poetry in America project at Harvard University,2
Columbia University pre-diabetes research,Columbia University pre-diabetes research,1
Southern District,Southern District,1
NATO coordination matters,NATO coordination matters,1
his legal proceedings,his legal proceedings,1
his own legal proceedings,his own legal proceedings,1
In the Closet of the Vatican,In the Closet of the Vatican,1
Vatican scandal documentary,Vatican scandal documentary,1
documentary/film project,documentary/film project,1
prebiotic chemistry,prebiotic chemistry,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_027794),unknown person A (TEXT-001-HOUSE_OVERSIGHT_027794),7
7 to 7:30 p.m. wheels up,7 to 7:30 p.m. wheels up,1
Miro would be president if he'd listened to him,Miro would be president if he'd listened to him,1
Biosphere 2 climate research,Biosphere 2 climate research,1
"China's expansion as 'lebensraum' in Australia, Venezuela, Brazil","China's expansion as 'lebensraum' in Australia, Venezuela, Brazil",1
Mongolia's population and resources,Mongolia's population and resources,1
"Saudi Arabia, Russia, Mongolia, Kazakhstan geopolitics","Saudi Arabia, Russia, Mongolia, Kazakhstan geopolitics",1
pyramid with entire French government,pyramid with entire French government,1
commercial flight backup while plane prepares,commercial flight backup while plane prepares,1
CNBC appearance,CNBC appearance,1
CNBC Squawk Box,CNBC Squawk Box,1
Tanya Rahall,Tanya Rahall,1
recipient's girl (Kathy) is in NYC,recipient's girl (Kathy) is in NYC,1
no press will be present at meetings,no press will be present at meetings,1
China is fucking with their future,China is fucking with their future,1
American teen hackers against China,American teen hackers against China,1
"hacker group (red, white and blue hats)","hacker group (red, white and blue hats)",1
Rome speeches prompted interest in China focus,Rome speeches prompted interest in China focus,1
Anderson Cooper CNN interview,Anderson Cooper CNN interview,1
text messaging,text messaging,1
recipient's girl is going to Geneva,recipient's girl is going to Geneva,1
recipient's girl was flying over,recipient's girl was flying over,1
recipient's stay,recipient's stay,1
Mueller report referred cases,Mueller report referred cases,1
attend meeting in Paris,attend meeting in Paris,1
emblem of movement,emblem of movement,1
Jacques Lang's substantial government budget authority,Jacques Lang's substantial government budget authority,1
art guy,art guy,1
charter flight arrangement,charter flight arrangement,1
Ambassador's residence,Ambassador's residence,1
recipient and Miro,recipient and Miro,1
Saudi Crown Prince authority concerns,Saudi Crown Prince authority concerns,1
his current toxicity and political liability,his current toxicity and political liability,1
Bolsonaro as political topic,Bolsonaro as political topic,1
Donald Trump's financial documents and debts,Donald Trump's financial documents and debts,1
an unnamed woman ('our girl'),an unnamed woman ('our girl'),1
Mueller investigation prosecutor stepping down,Mueller investigation prosecutor stepping down,1
Kelly and Jared Kushner,Kelly and Jared Kushner,1
Mike Pence should be replaced by Pompeo,Mike Pence should be replaced by Pompeo,1
Martin Act legal framework,Martin Act legal framework,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_027585),unknown person A (TEXT-001-HOUSE_OVERSIGHT_027585),21
resignation,resignation,1
Pelosi,Pelosi,1
conspiracy theory article about Strauss-Kahn arrest,conspiracy theory article about Strauss-Kahn arrest,1
Jamal Khashoggi murder,Jamal Khashoggi murder,1
high school girls,high school girls,1
New York State Attorney General,New York State Attorney General,1
writer's privilege,writer's privilege,1
Times article,Times article,1
media empire,media empire,1
Indonesian rupiah,Indonesian rupiah,1
New Yorker,New Yorker,2
Don McGahn,Don McGahn,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_027396),unknown person A (TEXT-001-HOUSE_OVERSIGHT_027396),4
Charles Koch,Charles Koch,1
Cryptocurrency figure,Cryptocurrency figure,1
President of Ethiopia and President of Eritrea,President of Ethiopia and President of Eritrea,1
John Dowd,John Dowd,1
House Intel,House Intel,1
Bolton,Bolton,1
"Ed Boyden, Geoffrey Ling, Neal Kassell, and inner circle members","Ed Boyden, Geoffrey Ling, Neal Kassell, and inner circle members",1
"January 20, 1953","January 20, 1953",1
unknown person regarding Bill Gates strategy (TEXT-001-HOUSE_OVERSIGHT_027232),unknown person regarding Bill Gates strategy (TEXT-001-HOUSE_OVERSIGHT_027232),1
Trump and Bill Gates relationship dynamics,Trump and Bill Gates relationship dynamics,1
unknown person regarding Bill Gates foundation strategy (TEXT-001-HOUSE_OVERSIGHT_027232),unknown person regarding Bill Gates foundation strategy (TEXT-001-HOUSE_OVERSIGHT_027232),1
unknown person A's visit plans (TEXT-001-HOUSE_OVERSIGHT_027225),unknown person A's visit plans (TEXT-001-HOUSE_OVERSIGHT_027225),1
unknown person A's birthday (TEXT-001-HOUSE_OVERSIGHT_027225),unknown person A's birthday (TEXT-001-HOUSE_OVERSIGHT_027225),1
MIT and Harvard,MIT and Harvard,1
personal wealth management,personal wealth management,1
Stevie boy,Stevie boy,1
Tom Pritzker has sent email,Tom Pritzker has sent email,1
correspondent's membership in think tanks,correspondent's membership in think tanks,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_027141),unknown person A (TEXT-001-HOUSE_OVERSIGHT_027141),5
Francis Collins,Francis Collins,1
Tanzania,Tanzania,1
Trump's undisclosed payments,Trump's undisclosed payments,1
BS Stern,BS Stern,1
Gilet Jaunes (Yellow Vests) movement,Gilet Jaunes (Yellow Vests) movement,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_026449),unknown person A (TEXT-001-HOUSE_OVERSIGHT_026449),1
trip,trip,1
draft document,draft document,1
Macgyver,Macgyver,1
Macgiver,Macgiver,1
fund flow mechanisms,fund flow mechanisms,1
Hanson,Hanson,1
David Fizel,David Fizel,1
old man,old man,1
Kuwait,Kuwait,1
Justice Department staffing,Justice Department staffing,1
Edmond de Rothschild,Edmond de Rothschild,1
Karim Wade,Karim Wade,1
Deputy Crown Prince's right hand,Deputy Crown Prince's right hand,1
Skype,Skype,1
InfoSpan lawsuit,InfoSpan lawsuit,1
investment_opportunity,investment_opportunity,1
Mike Cohen,Mike Cohen,1
column_finishing_materials,column_finishing_materials,1
notable individuals,notable individuals,1
Lenox Hill,Lenox Hill,1
financial decisions,financial decisions,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_025790),unknown person A (TEXT-001-HOUSE_OVERSIGHT_025790),1
process server,process server,1
Kyle Bass,Kyle Bass,1
FBI director search,FBI director search,1
Johnny Depp,Johnny Depp,1
Benjamin,Benjamin,3
Hong Kong protest,Hong Kong protest,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_025426),unknown person A (TEXT-001-HOUSE_OVERSIGHT_025426),7
Weingarten meeting,Weingarten meeting,1
Noam Chomsky and unknown recipient,Noam Chomsky and unknown recipient,2
Saudi Arabia sovereign wealth fund,Saudi Arabia sovereign wealth fund,1
anonymous op-ed authorship (TEXT-001-HOUSE_OVERSIGHT_025368),anonymous op-ed authorship (TEXT-001-HOUSE_OVERSIGHT_025368),1
Peter Strzok,Peter Strzok,2
New York Times editorial process,New York Times editorial process,1
rebel leaders,rebel leaders,1
anonymous editorial authorship (TEXT-001-HOUSE_OVERSIGHT_025368),anonymous editorial authorship (TEXT-001-HOUSE_OVERSIGHT_025368),1
Middle East geopolitics,Middle East geopolitics,1
Smoot Hawley 2,Smoot Hawley 2,1
WhatsApp obstruction of justice,WhatsApp obstruction of justice,1
Kaslowitz,Kaslowitz,2
Michael Klein,Michael Klein,2
Edelman,Edelman,1
Denise,Denise,2
Lenny Bruce,Lenny Bruce,1
article about campus speech 55 years later,article about campus speech 55 years later,1
victims' attorneys,victims' attorneys,1
Joe Avantario,Joe Avantario,1
Ada Clapp,Ada Clapp,1
victims in federal lawsuit,victims in federal lawsuit,1
Abe Goodman,Abe Goodman,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_023051),unknown person A (TEXT-001-HOUSE_OVERSIGHT_023051),1
sexual activity recording,sexual activity recording,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_023041),unknown person A (TEXT-001-HOUSE_OVERSIGHT_023041),1
Princess Diana at Serpentine Gallery dinner,Princess Diana at Serpentine Gallery dinner,1
Manhattan mansion from Les Wexner,Manhattan mansion from Les Wexner,1
TED conference attendees,TED conference attendees,2
unknown person A (TEXT-001-HOUSE_OVERSIGHT_022835),unknown person A (TEXT-001-HOUSE_OVERSIGHT_022835),1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_022834),unknown person A (TEXT-001-HOUSE_OVERSIGHT_022834),1
sexual_assault_allegations,sexual_assault_allegations,1
Viceland media inquiry,Viceland media inquiry,1
George W. Bush,George W. Bush,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_022776),unknown person A (TEXT-001-HOUSE_OVERSIGHT_022776),1
housing and vehicle,housing and vehicle,1
Barry E. Krischer,Barry E. Krischer,1
Geoffrey Ling's current activities,Geoffrey Ling's current activities,1
magazine,magazine,1
phone number,phone number,1
Morris,Morris,1
Ted,Ted,1
Brazil,Brazil,2
The Lolita Express,The Lolita Express,1
Inspector General,Inspector General,1
reputation management campaign,reputation management campaign,1
Confronting Gravity symposium,Confronting Gravity symposium,1
security will leave him after Paris,security will leave him after Paris,1
Windsor Castle,Windsor Castle,1
Beverly Donatelli,Beverly Donatelli,1
James Comey,James Comey,2
Abigail Koppel,Abigail Koppel,1
famous lawyer,famous lawyer,1
Mount Sinai Hospital 3D mammograms project,Mount Sinai Hospital 3D mammograms project,1
federal investigators,federal investigators,1
Federal investigators,Federal investigators,1
FBI RA Squad Task Force,FBI RA Squad Task Force,1
child locate investigation,child locate investigation,1
unknown minor girl,unknown minor girl,1
Oliver Stone,Oliver Stone,1
Brian Baker,Brian Baker,1
Obama stimulus plan,Obama stimulus plan,1
Jenna,Jenna,3
unknown person A's father,unknown person A's father,1
bankruptcy auction,bankruptcy auction,1
unknown person A (TEXT-002-HOUSE_OVERSIGHT_031986),unknown person A (TEXT-002-HOUSE_OVERSIGHT_031986),1
Ghislaine Maxwell and Prince Andrew,Ghislaine Maxwell and Prince Andrew,1
financial markets and currency exchange,financial markets and currency exchange,1
Hicks,Hicks,1
Manhattan townhouse,Manhattan townhouse,1
soliciting sex from minor,soliciting sex from minor,1
press release,press release,1
child sexual abuse and federal cover-up,child sexual abuse and federal cover-up,1
Craig Sherman,Craig Sherman,1
net worth of $20 million,net worth of $20 million,1
Pan Am takeover scheme,Pan Am takeover scheme,1
"Vanity Fair article ""The Talented Mr. Epstein""","Vanity Fair article ""The Talented Mr. Epstein""",1
Dialog 2014,Dialog 2014,1
single_family_property_50434326060000391,single_family_property_50434326060000391,1
single_family_property_50434327060000391,single_family_property_50434327060000391,1
5043432325 TWO NORTH BREAKERS ROW CONDO 0360,5043432325 TWO NORTH BREAKERS ROW CONDO 0360,1
electricity consumption,electricity consumption,1
two felony prostitution charges,two felony prostitution charges,1
lawsuit against Brad Edwards,lawsuit against Brad Edwards,1
United States criminal court,United States criminal court,1
black book diary,black book diary,1
Ann Marie Villafana,Ann Marie Villafana,1
minor witness,minor witness,2
Alexander Costa,Alexander Costa,1
Darrell Issa,Darrell Issa,1
Women in the World Summit,Women in the World Summit,1
sexual blackmail material,sexual blackmail material,1
evidence (videotapes),evidence (videotapes),1
James Bartakowski,James Bartakowski,3
Robert Breslin,Robert Breslin,3
Tarek El Sayed,Tarek El Sayed,4
soliciting prostitution from minor,soliciting prostitution from minor,1
Jack,Jack,2
American Ambassador,American Ambassador,1
Benny Shabtai,Benny Shabtai,1
HOUSE_OVERSIGHT_033440,HOUSE_OVERSIGHT_033440,1
G550,G550,1
Eric Roth,Eric Roth,11
recipient of erroneous communication,recipient of erroneous communication,1
Paul Rampell,Paul Rampell,1
Puerta Plata,Puerta Plata,1
devaluation race outcome,devaluation race outcome,1
Trump people,Trump people,1
flight restrictions at Palm Beach International Airport,flight restrictions at Palm Beach International Airport,1
Global Counsel LLP,Global Counsel LLP,1
aircraft purchase offer,aircraft purchase offer,1
Fethullah Gulen,Fethullah Gulen,2
"Bill Hellman, Geoff Ling, Joi Ito, Ed Boyden, Caleb","Bill Hellman, Geoff Ling, Joi Ito, Ed Boyden, Caleb",1
Peter Thicl,Peter Thicl,2
Jack LANG,Jack LANG,4
big tech,big tech,1
David Pecker,David Pecker,4
feminists,feminists,4
James Cohen,James Cohen,1
Memasters,Memasters,1
Megann,Megann,1
unknown person B (TEXT-001-HOUSE_OVERSIGHT_027794),unknown person B (TEXT-001-HOUSE_OVERSIGHT_027794),2
Schwartman,Schwartman,1
unknown person A (HOUSE_OVERSIGHT_033027),unknown person A (HOUSE_OVERSIGHT_033027),1
interview meeting,interview meeting,1
Greg Andres,Greg Andres,1
science funding initiative,science funding initiative,2
unknown person A (HOUSE_OVERSIGHT_033021),unknown person A (HOUSE_OVERSIGHT_033021),2
space program,space program,1
small business optimism index,small business optimism index,1
Nathan Mhyrvold,Nathan Mhyrvold,2
Donald,Donald,1
Thorbjgn Jagland,Thorbjgn Jagland,1
ACLU legal proceedings,ACLU legal proceedings,1
Morocco,Morocco,1
politically connected and wealthy people,politically connected and wealthy people,1
Daily Mail article about assault allegations,Daily Mail article about assault allegations,2
Jane Doe case involving Trump and Epstein (HOUSE_OVERSIGHT_032892),Jane Doe case involving Trump and Epstein (HOUSE_OVERSIGHT_032892),1
James Patterson book publication,James Patterson book publication,1
president of united nations,president of united nations,2
President of United Nations,President of United Nations,2
Series 1 Preferred Term Sheet,Series 1 Preferred Term Sheet,1
unknown person A (HOUSE_OVERSIGHT_032714),unknown person A (HOUSE_OVERSIGHT_032714),1
Anas Al Rasheed,Anas Al Rasheed,9
Michael Wolff's Fire and Fury book on Donald Trump,Michael Wolff's Fire and Fury book on Donald Trump,1
Marino,Marino,1
Michael Wolff Fire and Fury book coverage,Michael Wolff Fire and Fury book coverage,1
unknown person A (HOUSE_OVERSIGHT_032673),unknown person A (HOUSE_OVERSIGHT_032673),3
unknown person A (HOUSE_OVERSIGHT_032672),unknown person A (HOUSE_OVERSIGHT_032672),7
undisclosed communication,undisclosed communication,3
unknown person A (HOUSE_OVERSIGHT_032664),unknown person A (HOUSE_OVERSIGHT_032664),2
unknown person A (HOUSE_OVERSIGHT_032663),unknown person A (HOUSE_OVERSIGHT_032663),7
unknown person A (HOUSE_OVERSIGHT_032660),unknown person A (HOUSE_OVERSIGHT_032660),6
travel plans to New York,travel plans to New York,1
Anas Al-Rasheed,Anas Al-Rasheed,10
unknown person A (HOUSE_OVERSIGHT_032631),unknown person A (HOUSE_OVERSIGHT_032631),3
your man,your man,1
Wall Street Folly,Wall Street Folly,1
unknown person A (HOUSE_OVERSIGHT_032606),unknown person A (HOUSE_OVERSIGHT_032606),2
George will not be happy about missed meeting,George will not be happy about missed meeting,1
unknown person A (HOUSE_OVERSIGHT_032599),unknown person A (HOUSE_OVERSIGHT_032599),9
unknown person A (HOUSE_OVERSIGHT_032582),unknown person A (HOUSE_OVERSIGHT_032582),5
unknown person A (HOUSE_OVERSIGHT_032579),unknown person A (HOUSE_OVERSIGHT_032579),3
unknown person A (HOUSE_OVERSIGHT_032575),unknown person A (HOUSE_OVERSIGHT_032575),4
unknown person A (HOUSE_OVERSIGHT_032573),unknown person A (HOUSE_OVERSIGHT_032573),2
unknown person A (HOUSE_OVERSIGHT_032571),unknown person A (HOUSE_OVERSIGHT_032571),3
rebel leader ceasefire proposal,rebel leader ceasefire proposal,1
unknown person A (HOUSE_OVERSIGHT_032543),unknown person A (HOUSE_OVERSIGHT_032543),2
Trump Middle East trip,Trump Middle East trip,1
Masayoshi Son,Masayoshi Son,1
Berlin,Berlin,1
Los Angeles,Los Angeles,1
Etienne Binant,Etienne Binant,39
unknown person regarding science research (TEXT-001-HOUSE_OVERSIGHT_027232),unknown person regarding science research (TEXT-001-HOUSE_OVERSIGHT_027232),1
"January 20-22, 2017","January 20-22, 2017",1
Sultan Suleiman,Sultan Suleiman,2
classified communications,classified communications,1
Bruce Moskowitz,Bruce Moskowitz,3
Linda Pinto,Linda Pinto,1
unknown person A (HOUSE_OVERSIGHT_032375),unknown person A (HOUSE_OVERSIGHT_032375),1
Marrakech,Marrakech,1
Erika Kellerhals,Erika Kellerhals,10
Andres Serrano,Andres Serrano,4
unknown person A (TEXT-001-HOUSE_OVERSIGHT_030997),unknown person A (TEXT-001-HOUSE_OVERSIGHT_030997),1
Jane Doe case,Jane Doe case,1
Alzheimer's Ball,Alzheimer's Ball,1
unknown person A (HOUSE_OVERSIGHT_032296),unknown person A (HOUSE_OVERSIGHT_032296),1
heat map data regarding Trump and Clinton,heat map data regarding Trump and Clinton,1
legal document unsealing timeline and press coverage,legal document unsealing timeline and press coverage,1
Heather Mann,Heather Mann,6
"wizard, Chiron, spell","wizard, Chiron, spell",1
Jerry,Jerry,1
lawkrauss,lawkrauss,1
Nil Priell Barak,Nil Priell Barak,1
alleged victim,alleged victim,1
Donald Trump rape lawsuit case,Donald Trump rape lawsuit case,1
unknown person A (HOUSE_OVERSIGHT_031986),unknown person A (HOUSE_OVERSIGHT_031986),1
allegations of Trump-Saudi financial dealings,allegations of Trump-Saudi financial dealings,1
Dominique Strauss-Kahn case,Dominique Strauss-Kahn case,1
unknown person A (HOUSE_OVERSIGHT_031912),unknown person A (HOUSE_OVERSIGHT_031912),2
alleged victims,alleged victims,6
AVGO puts,AVGO puts,1
Broadcom options,Broadcom options,1
Donald Trump and Jeffrey Epstein,Donald Trump and Jeffrey Epstein,1
approximately twenty underage girls,approximately twenty underage girls,1
prison system,prison system,1
bank appraisal,bank appraisal,2
pee tape,pee tape,1
Orgy Island,Orgy Island,1
Yom Kippur Break Fast gathering,Yom Kippur Break Fast gathering,1
unknown person A (HOUSE_OVERSIGHT_031684) (HOUSE_OVERSIGHT_031684),unknown person A (HOUSE_OVERSIGHT_031684) (HOUSE_OVERSIGHT_031684),1
Salvator Mansa painting,Salvator Mansa painting,1
Both Sides Now radio program,Both Sides Now radio program,1
mr kiss,mr kiss,1
Richard Ireland,Richard Ireland,1
Trump-related issues,Trump-related issues,2
Kensington2,Kensington2,2
2016 U.S. Presidential Election,2016 U.S. Presidential Election,1
David Ingram,David Ingram,2
Trump casino,Trump casino,1
Richard Merkin,Richard Merkin,21
foreign policy briefing document,foreign policy briefing document,1
art sale transaction,art sale transaction,1
Reid Weingarten and Wolff,Reid Weingarten and Wolff,1
Don McGahn and H.R. McMasters,Don McGahn and H.R. McMasters,1
unknown person A (HOUSE_OVERSIGHT_031544) (HOUSE_OVERSIGHT_031544),unknown person A (HOUSE_OVERSIGHT_031544) (HOUSE_OVERSIGHT_031544),1
estimation of Saudi fund involvement,estimation of Saudi fund involvement,1
Saudi capital allocation and fund withdrawal constraints,Saudi capital allocation and fund withdrawal constraints,1
Israeli election coordination,Israeli election coordination,1
Saudi investment patterns and capital structure,Saudi investment patterns and capital structure,1
Steptoe & Johnson LLP,Steptoe & Johnson LLP,1
Edward Snowden,Edward Snowden,4
The Annals of Unsolved Crimes,The Annals of Unsolved Crimes,2
redacted documents,redacted documents,1
Christina Galbraith,Christina Galbraith,5
unknown student,unknown student,7
Madars,Madars,1
Donald Trump and Bill Clinton,Donald Trump and Bill Clinton,1
female accuser,female accuser,1
others,others,1
"New York, Palm Beach, U.S. Virgin Islands","New York, Palm Beach, U.S. Virgin Islands",1
letter,letter,1
sex slave,sex slave,1
"Martin Weinberg, Scott J. Link, Darren Indyke, Jack Goldberger","Martin Weinberg, Scott J. Link, Darren Indyke, Jack Goldberger",1
Jeffrey Epstein Philanthropy,Jeffrey Epstein Philanthropy,1
conspiracy theory article about Fort Knox gold reserves,conspiracy theory article about Fort Knox gold reserves,1
allegations of sexual misconduct,allegations of sexual misconduct,1
Ramsey Elkholy,Ramsey Elkholy,2
felony solicitation of prostitution and procuring person under age 18,felony solicitation of prostitution and procuring person under age 18,1
80.1 acres of land on Great St. James,80.1 acres of land on Great St. James,1
V.I. Justice Department,V.I. Justice Department,1
procuring a child for prostitution,procuring a child for prostitution,2
music improves motor coordination in Parkinson's research,music improves motor coordination in Parkinson's research,1
federal prison,federal prison,3
Epstein Hedge Fund Financial Trust Corp,Epstein Hedge Fund Financial Trust Corp,1
black four-door Mercedes,black four-door Mercedes,1
underage exploitation,underage exploitation,1
soliciting prostitution from minors,soliciting prostitution from minors,1
Miami U.S. Attorney Alexander Acosta's office,Miami U.S. Attorney Alexander Acosta's office,1
legal deposition,legal deposition,1
"royalty, politicians, academicians, businessmen","royalty, politicians, academicians, businessmen",1
Jane Doe 102 (HOUSE_OVERSIGHT_031100),Jane Doe 102 (HOUSE_OVERSIGHT_031100),4
Gilet Jaunes movement participants,Gilet Jaunes movement participants,1
in-person interview,in-person interview,1
enticing minors to engage in prostitution,enticing minors to engage in prostitution,1
confidential communication document,confidential communication document,1
Epstein News Articles,Epstein News Articles,1
"Schwarzman, Wynn, Giuliani, Lorber, LeFrak, and Barrack","Schwarzman, Wynn, Giuliani, Lorber, LeFrak, and Barrack",1
lacrosse practice logistics,lacrosse practice logistics,1
"Schwarzman, Wynn, Rudy Giuliani, Lorber, Lefrak","Schwarzman, Wynn, Rudy Giuliani, Lorber, Lefrak",1
political commentary,political commentary,1
high school yearbook,high school yearbook,1
unknown person A (HOUSE_OVERSIGHT_031049),unknown person A (HOUSE_OVERSIGHT_031049),2
unknown person A (HOUSE_OVERSIGHT_031045) (HOUSE_OVERSIGHT_031045),unknown person A (HOUSE_OVERSIGHT_031045) (HOUSE_OVERSIGHT_031045),20
signed dedicated copy,signed dedicated copy,1
Anil Ambani,Anil Ambani,14
your guy,your guy,1
investment business,investment business,1
work release program,work release program,2
assets,assets,1
trading Jane Doe 102,trading Jane Doe 102,1
conspiring to entice minors to prostitution,conspiring to entice minors to prostitution,1
"adult male peers including royalty, politicians, and businessmen","adult male peers including royalty, politicians, and businessmen",1
conspiracy to entice minors into prostitution,conspiracy to entice minors into prostitution,1
offshore accounts,offshore accounts,1
unknown person B (HOUSE_OVERSIGHT_030992) (HOUSE_OVERSIGHT_030992),unknown person B (HOUSE_OVERSIGHT_030992) (HOUSE_OVERSIGHT_030992),1
